shipment_mode,total_cost
Ocean,174265.284
Air,74376
Ocean,47697.25
Ocean,93563.25
Air,36324.45
Ocean,60604
Ocean,69839.9
Air,45441
Air,76622.4
Air,25619.215
Ocean,28523.9
Air,199978.56
Ocean,43950
Air,43773.4
Air,21442.9
Air,25602.69995
Air,18940
Ocean,83700
Air,12688.65
Air,25602.69995
Air,9895.6
Air,43854.2
Air,47389.2
Air,100685.25
Air,99429.4
Air,7006.5
Ocean,51219.1
Air,18726.07
Air,18564
Ocean,9256
Air,18773.98097
Air,142663.38
Air,61117.5
Air,45800
Ocean,23595.85
Air,25552.8
Ocean,18170
Ocean,20627.1955
Air,111447.14
Air,23565.36
Ocean,46996.7
Air,41223
Air,42975
Ocean,15430.25
Air,21144.12614
Air,12853.4
Air,28064.645
Ocean,15011.37
Ocean,58100
Air,10010.1
Ocean,15872.5
Air,10844.4
Air,128988.9
Air,25602
Ocean,56851.85
Air,22270.95
Ocean,93910.1
Air,31123.27904
Air,100664.64
Air,94101.24
Air,25541.605
Ocean,100590.4938
Air,70605.6
Air,68939.05
Ocean,4663.57
Air,50629.90614
Air,92882.1
Air,47232.65
Air,68962.5
Ocean,37822.6665
Air,25417.63
Air,18080.13964
Air,19242.3
Air,24846.4
Air,38236.4936
Ocean,91294.5
Air,11033.75
Air,13017
Air,18806.7
Ocean,70554.75
Air,23023.525
Air,4578.08
Air,79378.2
Ocean,70603.5
Air,11438.75
Air,23162.5
Air,92851.95
Air,52217.65039
Air,129395.52
Air,25712.4
Air,20734.095
Ocean,18409
Ocean,872.484
Air,13080.45
Ocean,35511
Air,28167.835
Ocean,20002.515
Ocean,21349.75
Air,13133.15
Air,177065.44
Air,50762.03
Ocean,7430.07
Air,28145.95265
Air,129088.96
Ocean,86163.9
Air,94010.7
Ocean,20000.6778
Ocean,50708.75
Air,79592.1
Ocean,31510.8
Ocean,25000.05867
Air,30573.97
Air,53640
Air,11087.36
Air,181658.2
Air,50739.573
Air,14252.475
Air,111278.79
Air,132031.02
Air,101134.54
Air,14252.475
Air,20673
Air,10575.4
Air,15021.34
Air,10442.25
Ocean,9643.2
Ocean,61301.45
Air,20776.56
Ocean,10003.686
Air,135461.7128
Air,113675
Ocean,87823.8
Air,26498.4
Ocean,128988.9
Air,112887
Air,74280
Air,20679.75
Ocean,54268.5
Ocean,182426.8
Air,53100.85
Ocean,56133.5
Air,111724.14
Ocean,15529.5
Air,55710
Ocean,9086
Ocean,10424.4
Air,8954.4
Air,55740
Ocean,41210.4
Ocean,24691.5
Ocean,4335.5
Ocean,15529.5
Air,92360.86
Air,5133.7
Air,9319
Air,129169.62
Air,92511.76
Air,20185.2
Air,60651.5
Ocean,27405
Air,2340.75
Air,10073.1862
Air,100740.4055
Air,187040
Air,10000.2698
Air,100740.4055
Air,10058.36
Air,45935
Air,30381
Air,51530.8065
Air,129064.2
Air,20603.25
Air,25418.885
Air,30212.385
Air,10764
Ocean,130528.38
Ocean,14510.0305
Air,20650.5
Air,50575.616
Air,30445.8
Air,20536.62
Air,60472.8
Air,10468.43
Ocean,10764
Air,20571.9
Air,93450
Ocean,25710
Air,49874.2
Ocean,35124
Ocean,33474.36
Air,126187.5
Air,25844.8
Ocean,30498
Air,3077.58
Air,28140
Air,91950
Air,10599.4
Air,14083.625
Air,30599.6
Ocean,90662.45
Air,922.6
Air,11584.3
Air,6409.29
Air,24954.93
Air,17582.22
Air,10323.5
Air,55506
Air,17084
Ocean,10220.1
Air,93970
Air,101381.28
Air,21533.422
Ocean,10220.1
Air,131976.6
Air,25708.335
Ocean,60519.25
Air,10706.44215
Air,94269
Air,18398.75
Air,62587
Ocean,53179.5
Air,100337.4
Air,151041.93
Air,54744
Air,91183.84
Air,44263.25
Air,69753.25
Air,35120.379
Ocean,150760.25
Air,40803
Air,18127.22765
Ocean,16523.2
Air,1999.107
Air,15056.118
Ocean,84108.35
Air,19088.3
Air,93024.82
Ocean,17440
Ocean,10055.96
Air,15773.1
Ocean,138401.4
Air,187788.16
Air,30133.11
Air,56476.75
Air,25108.92
Air,30564.69
Air,101158.4
Air,13495.5
Air,22496.25
Air,46444.85
Air,30485
Ocean,54870
Ocean,18202.08
Air,30362.5
Air,11735
Air,40521.6
Ocean,10860
Air,87996.72493
Air,10512.32
Air,18701.65
Air,11683.75
Ocean,20209.2
Ocean,10740
Air,25699.03
Air,35448
Ocean,51004.5
Air,10608.44
Air,12967.755
Air,30510.8
Air,23046.9
Air,15048.735
Ocean,59845.28
Air,20541.831
Air,90810
Air,113478.34
Ocean,192947
Ocean,50001.3248
Air,27811.08
Ocean,18552.5
Air,63189
Air,31051.85
Ocean,51809.25
Air,157677.8
Ocean,50545
Ocean,40836.25
Air,10957.5
Air,187727.92
Ocean,36753.75
Ocean,50227.5
Ocean,18398.75
Air,22450.812
Air,11531.52
Ocean,25151.5
Air,30878.1
Air,91907.25
Air,15096.8
Air,91374.98
Ocean,90288.5
Ocean,20081.92
Ocean,10735.25
Air,50279.4
Air,46207.5
Ocean,90288.5
Ocean,25945.25
Air,169374.8
Ocean,86650
Air,91900
Air,50508
Ocean,150735.75
Ocean,13639.5
Air,116694.5
Air,81360.09
